,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9
X0,0.5011764846351293,1.1172414057123081,1.0758071122491253,1.5791474149389129,2.7781436223664024,4.04561408084677,3.218100395702071,2.691933087592493,1.5666161108790237,2.6328599288595886
X1,2.0561445945879586,1.8952369766142454,1.1660726966739932,2.083369694752147,2.7161961796478806,2.2239881017799528,3.090989244184835,5.26181417174007,4.010144309593623,2.30875955049897
X2,0.9449865475512049,2.8622316739362876,1.6320871529350505,1.3091913719644541,1.0909712607860995,2.749903706118917,5.1269237404730035,3.5123636321167293,5.282071369371851,5.037821760560325
X3,0.7873047390200548,1.2816913511402457,0.5709358161842912,1.7053639036023178,1.8415003369557603,5.337938286413107,4.24142365936066,5.49139882395047,5.733304573894311,7.79544693036392
X4,1.850369973594034,1.2222735304848955,1.2476917348476244,1.0229858374388612,1.4440692337560526,1.0515291295180202,4.123675755739552,5.617565580608036,5.6534922166079715,8.515074291299632
X5,3.6157466889150003,0.8667171950522956,0.6876040931148316,4.376804607767613,1.2962221709091,4.396318641330509,4.266059123093601,7.558169254384877,7.652183504724128,10.415047847105715
X6,0.6813644624096576,0.8577844126507713,2.097463058899733,1.055537463287088,1.5908670519291335,4.2172026077072715,4.418676354335189,5.851815739411115,6.923070593936768,3.520815414433485
X7,0.325147933991159,0.6060600129805958,0.5000633857238915,2.6216115143145378,2.547341345400977,3.8755581912091324,3.862366283160265,3.6131573116793527,6.659322433116721,6.404284839400975
X8,4.596376912214858,3.7522976177330283,3.8973760576925525,1.61928920305784,2.885628007355045,2.86944357258359,2.406966555731474,3.3987282547586717,3.709656120117309,2.679984391343281
X9,5.0224241263161655,3.071946077022101,3.4152575673650354,3.043252741685373,1.9527515631177825,1.5544528278219134,4.02075897288189,1.1784978933594328,2.8298704248184987,2.5406315998037368
