,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9
X0,-3.2408324154940518,-3.0144860310987993,-2.921762856570157,-2.449096842245622,-2.025299538265575,-1.6354715824127197,-1.1720046184279702,-0.4232622588222677,0.4023853025653146,0.6987634572115812
X1,-3.7585829604755747,-3.527074922214855,-3.3753248236396094,0.03314898637208072,-2.0458973212675615,-1.3426469347693704,-0.6174392740834843,0.366943819956346,1.2634738358584316,2.130909139459783
X2,-4.2546563365242696,-0.07959349182519046,-2.978275169025768,-2.323509855703874,-1.3990750366991216,-0.6872734434225343,0.5373942093415693,1.6826988567005505,2.761022351004861,3.528744925152172
X3,-4.452779574827715,-4.224913141944191,-3.6686708493666216,-2.891858599402688,-2.166399739005349,-0.11794659766283902,1.5625594637610696,3.147763338955966,4.529869122938677,5.562472213398326
X4,-4.61157243902033,-4.087554606524381,-3.415410952134566,-2.717576731335033,-1.8700366562063044,-2.694560484452681,-0.16866258057680997,4.585336251692339,6.1500232436440205,6.969484508037567
X5,0.05948930233716965,-4.652095361189409,-4.138598507100886,0.0027406019243327055,-1.5486316599629142,0.03620088269764727,4.171066674319181,5.971164009787819,8.020199342207475,9.321697408502752
X6,-5.687549504366788,-5.132842887531627,-0.13231513107364828,-1.6213846152479,-0.5860483375462618,0.05212625657970255,4.66864427653226,6.980273756113919,9.656927542252975,-0.24561289223757657
X7,-6.072016499259255,-5.7486512010747735,-6.114064736799761,-0.40792085094885394,0.3696241094307466,1.2013188969682564,3.1186957738616248,0.09320345791903409,7.289215369658037,5.546038605950096
X8,-0.05590661818330938,-0.22658572142774408,0.08314078436656432,-1.4464773454449393,-0.4117102525620298,0.36955584585666656,1.6218685101379047,2.4273275299505754,3.5249388217926025,2.9221409234133633
X9,-0.36719213697043335,-0.5063966302709146,-1.9171928844668649,-1.6221488294276325,-0.9691487930037759,-0.42264063317667355,0.6732865246859464,0.992317645387216,0.821614070372148,1.3683248216455632
