,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9
X0,-6.222973444245079,-6.709055217829618,-7.987454457716509,-7.280998880212957,-6.599947907707908,-5.9972565011544665,-4.780011485923421,-4.963186567479914,-7.139845303513787,-10.538209590044888
X1,-5.889475735751065,-6.086138037118045,-8.602957021106374,-2.968935167247599,-3.0130668851462277,-0.2665766789154573,1.091682867570357,1.7606084726073525,-2.767789688977328,-6.926499778574163
X2,-7.699798453937877,-3.249623264778744,-1.6189616241238334,0.18042443828149277,1.3781914494254373,2.427756764672019,3.4783354239030317,4.542112003673207,4.314548427408392,-0.8620346242731268
X3,-6.088498982516202,-2.7375214208256113,-1.7002048384059558,-1.9497865113345059,-1.2902080497958444,-3.065038727088408,3.0186366493051704,5.520058198408647,6.47974985296076,0.6973521926186301
X4,-6.487401095303622,-3.7503473975441675,-3.042756340720437,-3.6670469370755283,-3.9606954157352448,-8.706362334164707,-2.8224792317910627,5.51461691477082,7.372580138119784,2.208956631747159
X5,-3.0558954098007898,-4.789313944903287,-4.74299727786671,-2.6209690028970893,-7.622401757673784,-2.5917375724424017,-2.897019212896174,4.8016743659973145,8.489716616543857,7.940284577282992
X6,-7.053318543867632,-5.790687951174649,-2.1816385930234734,-5.1137098940936,-7.139573487368497,-2.6420614665204827,-2.3355176719752224,2.491228060288863,5.6813974163749,-2.944356623021039
X7,-7.764354705810547,-7.19496453892101,-11.279780171134256,-2.162798756902868,-5.9131903865120625,-5.164618437940424,-5.293064377524636,-2.2281266179951755,-3.4972052519971673,-4.500266682017934
X8,-2.966349956664172,-2.5291000496257436,-2.9496936093677175,-3.3663628209720957,-5.532421047037298,-5.904213883660057,-5.3929861621423205,-5.285626671530983,-5.789042592048645,-5.96805016560988
X9,-2.341934457421303,-3.595023201270537,-3.2914158376780422,-4.253092744133689,-5.885209527882663,-6.839239846576344,-6.562898603352633,-6.882263508709994,-6.311246330087835,-8.11222522908991
