,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9
X0,-3.237810004163872,-3.421103065664118,-3.457251266999678,-3.0515563704750757,-2.734268405220725,-2.351330887187611,-1.95896837386218,-1.193563306873495,-0.8371182002804496,-0.5096057057380676
X1,-4.283117727799849,-3.7247429327531294,-3.5434790307825264,-1.8815354759042913,-2.5868536233901978,-1.7575589526783337,-0.9785111898725684,-0.3682596710595218,0.5617084394801747,1.149940924210982
X2,-4.233530976555564,-1.6544015353376216,-3.1633584282614966,-2.3694275292483242,-1.5951622507788918,-1.0126545923677357,0.023944746364246716,0.9370590665123679,1.6196643872694536,2.7684039256789466
X3,-4.458171497691762,-4.165213368155739,-3.5940385081551294,-2.8843299258839,-2.2463161295110528,-2.0579317699779165,1.0584187724373557,2.707535245201804,4.433011054992676,4.272500344298103
X4,-4.61129903793335,-4.127171299674294,-3.5215137871828945,-2.733279076489535,-1.980766686526212,-2.767038031057878,-1.9922127019275317,4.555766885930842,6.189582911404696,5.8591814041137695
X5,-1.8041610555215315,-4.645492380315607,-4.153891563415527,-1.740894984115254,-1.6877087463032117,-1.8471829132600264,3.7422667850147593,6.210085912184282,8.042992678555576,8.941498322920365
X6,-5.644247965379194,-5.245794686404142,-1.955227949402549,-1.6901844116774472,-0.7560178935527802,-1.9929569092663852,4.7581823522394355,7.718452020124956,10.029282396489924,-2.029854487289082
X7,-6.109870693900368,-5.7526468363675205,-5.994070443240079,-1.9846425164829602,-0.02857305786826394,0.789853876287287,1.5435032627799294,-2.012100013819608,7.967955979433927,6.033082821152427
X8,-1.8965820615941829,-1.8553762706843289,-2.053633684461767,-1.4237591515887866,-0.7770199748602781,-0.0560331561348655,0.7432032931934703,2.040288047357039,3.3166966329921377,3.308652387423949
X9,-2.7365423657677392,-2.690333593975414,-2.3516962203112515,-1.4953630471771413,-1.3365122757174752,-0.7839468771761114,-0.054413925517689095,0.09367881308902394,1.6097033430229535,0.9310048926960338
