,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9
X0,-29.638330286199395,-29.09480719132857,-29.087218718095258,-28.834042809226297,-28.07284892689098,-27.75740285353227,-27.85854148864746,-28.332779624245383,-28.825631575150922,-28.19012520530007
X1,-28.828018882057883,-28.87930575284091,-29.202505805275656,-27.66156179254705,-28.53860022804954,-28.35211753845215,-27.765004418113016,-27.102096904407848,-27.214886318553578,-28.173751831054688
X2,-29.30278344587846,-27.802387064153496,-28.74461486122825,-29.00241383639249,-29.12537956237793,-27.900497089732777,-26.34642522985285,-26.894216710870918,-26.76719786904075,-26.54516532204368
X3,-29.38092613220215,-29.03341258655895,-29.453853953968395,-28.933847080577504,-28.58590386130593,-26.709867390719328,-26.967419017444957,-26.112686330621894,-25.590173634615812,-24.675427826968107
X4,-29.04851549321955,-29.17029640891335,-29.096336884932086,-29.201568256724965,-29.00476733121005,-29.139265407215465,-26.823735497214578,-24.5238730690696,-24.389253703030672,-23.068036339499734
X5,-26.610227238048207,-29.35456622730602,-29.53489910472523,-26.354455427689985,-28.813439455899324,-26.757374503395774,-25.894955548373137,-22.726424780758943,-22.211238037456166,-20.166545607826926
X6,-29.656119433316317,-29.46331752430309,-28.11009337685325,-29.13673955743963,-28.604006333784625,-26.62141817266291,-25.860559116710316,-24.57857435399836,-21.754938212308016,-26.80491170016202
X7,-29.748896858908914,-29.685751481489703,-29.654600837013938,-27.089072487571023,-27.361649253151633,-27.0413124778054,-26.612214348532937,-27.12240149758079,-25.030508561567828,-25.08699131011963
X8,-26.713093931024726,-26.806887886740945,-26.915062991055574,-28.2017071463845,-27.374964800747957,-27.302183498035777,-28.171635194258258,-27.4533278725364,-26.757252086292613,-27.18722118030895
X9,-26.247197497974742,-27.81034174832431,-27.795285658402875,-27.75291026722301,-28.37121686068448,-28.637761549516156,-26.764407417990945,-28.915847431529652,-27.47210658680309,-27.515782963145863
